"sdate","stime","vessel","id","depth","Chl_a_Holm-Hansen_F","Phaeo_Holm-HansenF","Chl_int_140m","Phaeo_int_140m","Chl_int_50m","Phaeo_int_50m","gmt_doy","O2_Electrode","o2_ml","o2_um","Salinity_Sal_PSS","NO2NO3_Tech_F","SiO4_Tech_F","PO4_Tech_F","NH3_Tech_F","NO2_Tech_F"
"28-May-2011","01:28","(Lab Sea)","379276",20,0.20602931184669,0.0588749361533101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419,0.792,0.4575,1.399,0.1505
"28-May-2011","01:28","(Lab Sea)","379275",30,0.35849100261324,0.0861696993867595,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348,0.6145,0.4355,1.156,0.1475
"28-May-2011","01:28","(Lab Sea)","379274",40,0.743975142857143,0.126533003142857,NA,NA,NA,NA,NA,NA,7.65,NA,31.3943649019902,0.2455,0.546,0.411,0.8755,0.1465
"28-May-2011","01:28","(Lab Sea)","379273",50,0.193667553135889,0.137462756864112,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831,1.5015,0.5155,1.436,0.167
"28-May-2011","01:28","(Lab Sea)","379272",60,0.259596932926829,0.180333336073171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407,1.003,0.464,1.2645,0.142
"28-May-2011","01:28","(Lab Sea)","379271",80,0.32552631271777,0.41715166828223,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1305,2.0715,0.5725,1.5365,0.179
"28-May-2011","01:28","(Lab Sea)","379270",100,0.0822152613240418,0.367919618675958,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.912,5.3555,0.8455,1.59,0.3295
"28-May-2011","01:28","(Lab Sea)","379269",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8255,11.521,1.1675,0.497,0.2035
"28-May-2011","01:28","(Lab Sea)","379268",166,NA,NA,NA,NA,NA,NA,NA,NA,4.062,NA,34.2155816280245,15.623,13.5725,1.2725,0.504,0.215
"16-Jun-2011","12:48","SIGMA-T","306750",1,0.629517428571429,0.224566035428571,78.164095902439,50.819803931561,36.5978541428571,15.3369903411429,167,102.208579475055,6.7275,300.5,31.248,0.0065,0.447,0.335,0.2335,0.0755
"16-Jun-2011","12:48","SIGMA-T","306749",5,0.686746285714286,0.265885270285715,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0045,0.402,0.3515,0.1555,0.076
"16-Jun-2011","12:48","SIGMA-T","306748",10,0.686746285714286,0.331583998285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,0.324,0.32,0.2795,0.079
"16-Jun-2011","12:48","SIGMA-T","306747",20,0.715360714285714,0.368668297714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,0.3915,0.3345,0.5755,0.0825
"16-Jun-2011","12:48","SIGMA-T","306746",30,0.829818428571429,0.303484629428572,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,0.307,0.305,0.198,0.0745
"16-Jun-2011","12:48","SIGMA-T","306745",40,0.829818428571429,0.270635265428572,NA,NA,NA,NA,NA,99.2017652108584,7.025,314,32.009,1e-04,0.4865,0.3425,0.2385,0.072
"16-Jun-2011","12:48","SIGMA-T","306744",50,0.543674142857143,0.310409321142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2265,0.642,0.4105,0.203,0.091
"16-Jun-2011","12:48","SIGMA-T","306743",75,0.858432857142857,0.471966384857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.607,5.208,0.9645,1.221,0.252
"16-Jun-2011","12:48","SIGMA-T","306742",100,0.379093933797909,0.491305738202091,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5795,6.924,1.05,0.7915,0.219
